Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
769	11	35	56
770	455	481	501
771	912	938	960
772	318	344	364
773	638	664	684
774	851	876	896
775	965	988	1010
776	611	635	656
777	305	331	351
778	635	659	681
779	519	545	565
780	6	32	52
781	48	74	94
782	400	426	446
783	586	612	632
784	903	929	949
785	40	66	86
786	97	122	142
787	316	340	361
788	831	857	877
789	481	507	527
790	282	308	328
791	787	812	832
792	524	549	569
793	904	928	950
794	200	225	245
795	500	526	546
796	100	124	146
797	700	726	746
798	555	578	600
799	575	600	620
800	642	668	688
801	843	868	888
802	440	464	486
803	566	591	611
804	340	366	386
805	583	608	628
806	795	820	840
807	912	938	958
808	929	955	975
809	35	60	80
810	230	256	276
811	972	998	1018
812	628	653	675
813	341	366	386
814	453	478	498
815	149	175	195
816	740	764	786
817	719	745	765
818	415	441	461
819	449	473	495
820	830	856	876
821	590	616	636
822	522	548	568
823	162	188	210
824	201	225	247
825	269	294	314
826	146	171	191
827	239	265	285
828	14	40	60
829	170	193	215
830	914	940	960
831	959	985	1005
832	196	220	242
833	780	805	825
834	453	479	499
835	296	322	342
836	254	280	300
837	893	917	939
838	532	555	577
839	865	891	911
840	256	282	302
841	346	372	392
842	89	113	135
843	222	248	268
844	436	460	482
845	549	574	594
846	532	557	577
847	972	998	1018
848	835	861	881
849	672	696	718
850	174	199	219
851	502	526	548
852	760	786	808
853	747	771	793
854	937	962	982
855	523	546	568
856	286	310	332
857	494	519	539
858	669	694	714
859	75	98	120
860	488	514	534
861	922	946	968
862	1013	1037	3
863	976	999	1021
864	534	557	579
865	337	362	382
866	326	352	372
867	419	443	465
868	472	497	517
869	963	987	1009
870	465	488	510
871	481	507	527
872	764	788	810
873	243	269	289
874	618	641	663
875	441	465	485
876	89	115	135
877	869	893	915
878	445	471	491
879	74	99	119
880	36	62	82
881	133	157	178
882	403	428	448
883	50	76	96
884	143	169	189
885	897	923	943
886	723	749	769
887	323	349	371
888	267	293	313
889	963	989	1009
890	997	1022	1042
891	571	595	616
892	506	531	551
893	390	413	435
894	361	385	407
895	541	567	587
896	940	964	986
897	659	683	705
898	691	717	737
899	910	936	956
900	192	216	238
901	955	979	1001
902	830	854	876
903	772	796	818
904	864	890	910
905	138	164	184
906	10	36	56
907	98	124	144
908	665	691	711
909	35	60	80
910	463	486	508
911	519	543	565
912	962	987	1007
913	328	352	373
914	855	878	900
915	464	490	510
916	755	779	801
917	18	43	63
918	773	797	819
919	952	976	998
920	153	179	199
921	457	482	502
922	609	634	654
923	694	720	740
924	688	713	733
925	138	162	184
926	108	134	154
927	560	586	606
928	466	491	511
929	771	797	817
930	295	319	341
931	432	458	478
932	629	655	675
933	882	908	928
934	1015	1041	5
935	5	31	51
936	312	338	358
937	36	60	82
938	7	33	53
939	1010	1035	1055
940	501	525	547
941	471	495	517
942	468	494	514
943	278	304	324
944	858	884	904
945	845	871	891
946	818	844	864
947	73	96	118
948	764	788	810
949	235	261	281
950	858	884	904
951	913	938	958
952	280	306	326
953	56	80	101
954	502	527	547
955	980	1006	1026
956	993	1019	1039
957	590	614	636
958	453	479	499
959	541	566	586
960	11	36	58
961	548	574	594
962	69	92	114
963	580	604	626
964	67	92	112
965	875	899	921
966	5	31	51
967	921	945	967
968	556	582	602
969	952	978	998
970	268	291	313
971	334	358	380
972	284	325	345
973	114	139	159
974	116	140	162
975	397	420	442
976	453	479	499
977	132	156	178
978	954	978	1000
979	519	544	564
980	940	966	986
981	423	447	468
982	607	631	653
983	612	638	658
984	714	740	760
985	850	876	896
986	705	730	750
987	840	863	885
988	100	126	146
989	54	79	99
990	905	928	950
991	108	132	154
992	691	717	737
993	558	583	603
994	1022	5	25
995	113	139	159
996	484	508	530
997	967	993	1013
998	738	764	784
999	875	898	920

