Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
956	46	72	92
957	80	104	126
958	23	49	69
959	37	60	82
960	101	10	30
961	28	53	73
962	89	114	5
963	80	105	125
964	86	111	131
965	57	81	101
966	84	109	129
967	71	96	116
968	12	36	58
969	88	113	133
970	97	4	26
971	13	38	58
972	38	64	84
973	71	97	117
974	12	38	58
975	7	33	53
976	84	109	129
977	7	32	52
978	33	59	79
979	68	94	114
980	50	76	96
981	66	90	112
982	9	34	54
983	58	83	103
984	80	105	125
985	98	7	27
986	27	53	73
987	48	72	93
988	41	64	86
989	95	5	25
990	95	118	9
991	183	106	128
992	80	105	125
993	50	75	95
994	33	59	79
995	72	96	118
996	98	7	27
997	9	35	55
998	95	5	25
999	100	9	29

